match_id,date,team1,team2,venue,city,toss_winner,toss_decision,winner,match_type,outcome_result
1459376,2024-11-23,Nigeria,St Helena,University of Lagos Cricket Oval,Lagos,Nigeria,bat,Nigeria,T20,completed
1459377,2024-11-28,Ivory Coast,St Helena,"Nigeria Cricket Federation Oval 1, Abuja",Abuja,Ivory Coast,bat,St Helena,T20,completed
1459378,2024-11-28,Sierra Leone,Eswatini,"Nigeria Cricket Federation Oval 2, Abuja",Abuja,Sierra Leone,bat,Sierra Leone,T20,completed
1459379,2024-11-28,Nigeria,Botswana,"Nigeria Cricket Federation Oval 2, Abuja",Abuja,Nigeria,bat,Nigeria,T20,completed
1459380,2024-11-26,St Helena,Sierra Leone,"Nigeria Cricket Federation Oval 1, Abuja",Abuja,Sierra Leone,field,Sierra Leone,T20,completed
1459381,2024-11-26,Eswatini,Nigeria,"Nigeria Cricket Federation Oval 1, Abuja",Abuja,Eswatini,bat,Nigeria,T20,completed
1459382,2024-11-26,Ivory Coast,Botswana,"Nigeria Cricket Federation Oval 2, Abuja",Abuja,Botswana,field,Botswana,T20,completed
1459383,2024-11-27,Nigeria,Sierra Leone,"Nigeria Cricket Federation Oval 2, Abuja",Abuja,Sierra Leone,field,Nigeria,T20,completed
1459384,2024-11-27,St Helena,Botswana,"Nigeria Cricket Federation Oval 1, Abuja",Abuja,St Helena,bat,Botswana,T20,completed
1459385,2024-11-27,Ivory Coast,Eswatini,"Nigeria Cricket Federation Oval 2, Abuja",Abuja,Ivory Coast,bat,Eswatini,T20,completed
1459386,2024-11-24,Sierra Leone,Botswana,University of Lagos Cricket Oval,Lagos,Sierra Leone,bat,Botswana,T20,completed
1459387,2024-11-24,Nigeria,Ivory Coast,"Tafawa Balewa Square Cricket Oval, Lagos",Lagos,Nigeria,bat,Nigeria,T20,completed
1459388,2024-11-24,Eswatini,St Helena,University of Lagos Cricket Oval,Lagos,Eswatini,bat,Eswatini,T20,completed
1462877,2024-12-06,Panama,Suriname,"St Albans Club, Buenos Aires",Buenos Aires,Panama,bat,Panama,T20,completed
1462878,2024-12-06,Bahamas,Brazil,"St George's College Ground, Buenos Aires",Buenos Aires,Bahamas,bat,Bahamas,T20,completed
1462880,2024-12-07,Mexico,Brazil,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Mexico,bat,Mexico,T20,completed
1462881,2024-12-07,Argentina,Belize,"St George's College Ground, Buenos Aires",Buenos Aires,Belize,field,Argentina,T20,completed
1462882,2024-12-07,Bermuda,Suriname,"Hurlingham Club Ground, Buenos Aires",Buenos Aires,Bermuda,bat,Bermuda,T20,completed
1462883,2024-12-07,Cayman Islands,Panama,"St George's College Ground, Buenos Aires",Buenos Aires,Cayman Islands,bat,Cayman Islands,T20,completed
1462884,2024-12-08,Panama,Bermuda,"St Albans Club, Buenos Aires",Buenos Aires,Panama,bat,Bermuda,T20,completed
